Date,Open,High,Low,Close,Adjusted_Close,Volume
,TSCO,TSCO,TSCO,TSCO,TSCO,TSCO
2015-01-02,15.760000228881836,15.878000259399414,15.416000366210938,15.61400032043457,13.300569534301758,2785500
2015-01-05,15.588000297546387,15.645999908447266,15.161999702453613,15.293999671936035,13.027979850769043,4990000
2015-01-06,15.258000373840332,15.383999824523926,14.907999992370605,15.0600004196167,12.828652381896973,6737500
2015-01-07,15.100000381469727,15.552000045776367,15.0600004196167,15.54800033569336,13.244345664978027,7159500
2015-01-08,15.883999824523926,16.34000015258789,15.866000175476074,16.18400001525879,13.786113739013672,9713000
2015-01-09,16.131999969482422,16.13599967956543,15.838000297546387,15.984000205993652,13.615747451782227,4411000
2015-01-12,16.031999588012695,16.1200008392334,15.817999839782715,15.85200023651123,13.503304481506348,4297500
2015-01-13,16.025999069213867,16.20599937438965,15.564000129699707,15.71399974822998,13.385748863220215,3746000
2015-01-14,15.534000396728516,15.597999572753906,15.32800006866455,15.472000122070312,13.179605484008789,3913500
2015-01-15,15.59000015258789,15.645999908447266,15.020000457763672,15.039999961853027,12.811613082885742,4073000
2015-01-16,15.020000457763672,15.324000358581543,14.904000282287598,15.303999900817871,13.036499977111816,3920000
2015-01-20,15.32800006866455,15.383999824523926,14.913999557495117,15.137999534606934,12.895092964172363,4017000
2015-01-21,15.13599967956543,15.449999809265137,15.13599967956543,15.418000221252441,13.133606910705566,3689500
2015-01-22,15.454000473022461,16.006000518798828,15.390000343322754,15.946000099182129,13.583379745483398,4785000
2015-01-23,15.960000038146973,16.083999633789062,15.904000282287598,15.944000244140625,13.58167552947998,3870000
2015-01-26,15.972000122070312,16.43199920654297,15.824000358581543,16.356000900268555,13.932628631591797,5731000
2015-01-27,16.191999435424805,16.29800033569336,16.003999710083008,16.11199951171875,13.72478199005127,4601000
2015-01-28,16.083999633789062,16.45599937438965,15.916000366210938,15.972000122070312,13.605525970458984,7065500
2015-01-29,16.190000534057617,17.134000778198242,16.049999237060547,16.658000946044922,14.189885139465332,18778000
2015-01-30,16.56399917602539,16.724000930786133,16.172000885009766,16.233999252319336,13.828704833984375,6046500
2015-02-02,16.224000930786133,16.3700008392334,15.789999961853027,16.27199935913086,13.861076354980469,5238500
2015-02-03,16.31999969482422,16.648000717163086,16.173999786376953,16.621999740600586,14.159215927124023,7882500
2015-02-04,16.5939998626709,16.743999481201172,16.513999938964844,16.672000885009766,14.201809883117676,4313500
